Algorithm;FPS (include_cap_read);FPS (exlcude_cap_read);Video File (1920*1060@30)
StaticFrameDifference;127.0340676;168.1593215;dataset/real_cam1.mp4
FrameDifference;110.3733788;165.1982363;dataset/real_cam1.mp4
TwoPoints;71.43573988;85.57659739;dataset/real_cam1.mp4
AdaptiveSelectiveBackgroundLearning;72.20342565;73.74878925;dataset/real_cam1.mp4
ViBe;51.70489212;56.82550435;dataset/real_cam1.mp4
CodeBook;37.01965805;38.26155216;dataset/real_cam1.mp4
AdaptiveBackgroundLearning;33.56251477;34.20936203;dataset/real_cam1.mp4
WeightedMovingMean;29.17529754;33.17520691;dataset/real_cam1.mp4
LBSimpleGaussian;28.98004515;31.35396372;dataset/real_cam1.mp4
KNN;25.6012108;28.91779525;dataset/real_cam1.mp4
SigmaDelta;27.8139255;27.66439395;dataset/real_cam1.mp4
MixtureOfGaussianV2;22.93176394;23.0382204;dataset/real_cam1.mp4
VuMeter;17.88590847;19.19762494;dataset/real_cam1.mp4
LBMixtureOfGaussians;15.8660602;16.43187642;dataset/real_cam1.mp4
LBFuzzyGaussian;15.59126448;16.06593852;dataset/real_cam1.mp4
KDE;12.66649334;14.37665683;dataset/real_cam1.mp4
WeightedMovingVariance;12.01772335;13.98852657;dataset/real_cam1.mp4
LBAdaptiveSOM;7.58701924;7.641289973;dataset/real_cam1.mp4
IndependentMultimodal;6.269967344;7.197784918;dataset/real_cam1.mp4
LBFuzzyAdaptiveSOM;6.817995916;7.002238007;dataset/real_cam1.mp4
PixelBasedAdaptiveSegmenter;5.139071858;4.989152809;dataset/real_cam1.mp4
FuzzyChoquetIntegral;4.994377605;4.988174426;dataset/real_cam1.mp4
FuzzySugenoIntegral;4.990223682;4.984267592;dataset/real_cam1.mp4
SuBSENSE;0.870293523;0.848449369;dataset/real_cam1.mp4
PAWCS;0.270858374;0.26471817;dataset/real_cam1.mp4
LOBSTER;1.403872999;0.233833018;dataset/real_cam1.mp4
